barangay,ndeath01_prop,nmaln05_prop,ndeath05_prop,nsquat_prop,nmsh_prop,nntsws_prop,nntstf_prop,nntkinder5_prop,nntelem611_prop,nnths1215_prop,nntelem612_prop,nnths1316_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,npovp_prop,nsubp_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_prop,dep_prop
Bernardo District (Pob.),0.0,0.0,0.0,1.098901098901099,0.0,0.0,0.0,33.33333333333333,10.526315789473683,15.555555555555555,21.34831460674157,26.53061224489796,50.0,28.57142857142857,1.3157894736842104,25.396825396825395,14.529914529914532,0.0,4.545454545454546,0.0,31.37973137973138,61.53846153846154
Bitas,1.4492753623188406,1.5909090909090908,0.6818181818181818,7.045763479836882,2.2655188038060716,0.0,0.7702763932940644,29.333333333333332,5.853658536585367,19.936708860759495,15.208333333333332,29.55223880597015,37.81094527363184,54.785020804438275,3.12331717824448,37.449025826914365,21.930222020842773,0.3851381966470322,5.059132720105125,0.22655188038060714,30.289986406887177,67.26325328500226
Bonifacio District (Pob.),0.0,2.0491803278688523,0.0,5.676855895196507,3.2508491023774866,0.19408054342552158,0.4852013585638039,39.02439024390244,7.9831932773109235,19.653179190751445,16.363636363636363,22.413793103448278,45.83333333333333,26.55367231638418,2.710843373493976,30.761766132945173,15.380883066472586,0.6307617661329452,4.172274562584119,0.0,37.214944201843764,65.45366327025715
Buliran,0.0,0.9478672985781991,0.0,0.6597549481621112,1.5080113100848256,0.0,0.0,18.421052631578945,7.659574468085106,14.893617021276595,17.328519855595665,18.435754189944134,40.909090909090914,24.161073825503358,1.5340909090909092,24.17530631479736,14.60885956644675,0.0,5.547445255474453,0.0,34.11875589066918,69.50989632422242
Caalibangbangan,1.3333333333333335,0.6423982869379015,0.4282655246252677,15.097991773530122,1.9598354706024679,0.6290829905637552,0.0,35.75757575757576,10.764587525150905,17.771084337349397,18.985126859142607,24.702380952380953,48.20846905537459,26.50130548302872,1.8780048076923077,42.971207355431886,27.703847084442295,0.5443987418340189,3.4962540135569036,0.012097749818533753,35.31333172030002,67.2755867408662
Cabu,0.0,0.8695652173913043,0.0,2.374043787918755,2.163017673437088,0.0,0.026378264310208392,26.47058823529412,9.775967413441954,15.862068965517242,18.21428571428571,22.818791946308725,50.326797385620914,19.16167664670659,1.2687813021702838,34.37087839620153,18.095489316802954,0.8968609865470852,4.71976401179941,0.0,35.927195990503826,65.91928251121077
Calawagan (Kalawagan),3.571428571428571,1.8404907975460123,1.8404907975460123,4.871447902571042,1.8944519621109608,0.2706359945872801,1.6238159675236805,19.230769230769234,2.5773195876288657,13.178294573643413,12.669683257918551,16.0,44.680851063829785,22.5,2.9914529914529915,45.80514208389716,32.27334235453315,2.706359945872801,3.1598513011152414,0.20297699594046006,37.41542625169147,64.74966170500677
Campo Tinio,0.7092198581560284,0.49813200498132004,0.12453300124533001,1.2646675358539765,2.2685788787483703,0.7040417209908736,0.0,26.573426573426573,11.961722488038278,19.680851063829788,20.162932790224033,25.438596491228072,48.134328358208954,27.442528735632184,3.662597114317425,23.63754889178618,13.285528031290744,0.09126466753585398,4.2868589743589745,0.01303780964797914,32.868318122555415,68.85267275097785
Caridad,8.333333333333332,2.197802197802198,1.098901098901099,9.774436090225564,4.135338345864661,0.9774436090225564,1.6541353383458646,15.384615384615385,10.852713178294573,20.535714285714285,21.73913043478261,24.509803921568626,29.166666666666668,30.303030303030305,3.463203463203463,25.71428571428571,17.969924812030076,4.135338345864661,3.1645569620253164,0.6766917293233082,36.2406015037594,65.48872180451127
Caudillo,2.2222222222222223,1.5706806282722512,1.0471204188481675,3.1141868512110724,3.0449826989619377,4.775086505190312,3.598615916955018,48.0,8.333333333333332,26.61290322580645,16.371681415929203,31.746031746031743,56.896551724137936,13.768115942028986,5.724508050089446,64.49826989619378,51.14186851211072,5.6055363321799305,8.078602620087336,0.06920415224913494,36.40138408304499,70.86505190311418
Cinco-Cinco,5.405405405405405,2.843601895734597,0.9478672985781991,12.14114832535885,2.9904306220095696,0.17942583732057416,0.17942583732057416,31.428571428571427,6.763285024154589,15.384615384615385,15.546218487394958,19.11764705882353,45.45454545454545,10.625,2.4297646165527715,44.01913875598086,31.100478468899524,1.1961722488038278,4.682274247491638,0.11961722488038277,35.88516746411483,65.9090909090909
City Supermarket (Pob.),0.0,0.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,20.0,50.0,33.33333333333333,0.0,0.0,4.081632653061225,1.0,1.0,0.0,1.4285714285714286,2.0,23.0,31.0
Communal,5.555555555555555,2.18978102189781,0.7299270072992701,2.125919869174162,0.8176614881439084,0.8176614881439084,0.1635322976287817,20.689655172413794,7.83132530120482,18.269230769230766,18.090452261306535,27.472527472527474,43.90243902439025,17.346938775510203,4.0,56.33687653311529,42.27309893704007,0.9811937857726901,6.436781609195402,0.1635322976287817,37.53066230580539,66.72117743254292
Cruz Roja,1.5384615384615385,2.619047619047619,0.2380952380952381,5.650969529085873,2.9085872576177287,0.0,1.1634349030470914,25.0,9.67741935483871,13.8996138996139,19.055944055944053,17.647058823529413,52.892561983471076,25.165562913907287,2.4947294448348556,30.498614958448755,18.116343490304708,0.0,5.982274741506647,0.02770083102493075,36.59279778393352,64.73684210526316
Daang Sarile,0.0,1.167883211678832,0.145985401459854,5.0438233834959485,2.629403009756904,0.0992227550851662,0.0661485033901108,27.049180327868854,9.517426273458444,21.604938271604937,17.37142857142857,25.10729613733906,51.28205128205128,24.637681159420293,1.634988759452279,25.070282784851994,11.460228212336695,0.2811311394079709,4.646113764654798,0.1984455101703324,35.736728956507356,63.68447163882918
