barangay,ndeath05_prop,nntsws_prop,nntelem612_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_ratio,dep_ratio
Dimasalang (Pob.),0.0,0.0,25.806451612903224,44.0,35.1063829787234,2.7027027027027026,0.0,3.40632603406326,0.0,0.4444444444444444,1.3249370277078085
Dionisio S. Garcia,1.2477718360071302,0.9119217081850534,17.628705148205928,56.315789473684205,19.911504424778762,3.022670025188917,6.583629893238434,4.746835443037975,0.42259786476868333,0.5573259438863872,1.987375415282392
Fatima (Pob.),0.0,0.0,13.698630136986301,25.0,37.254901960784316,1.9083969465648856,0.0,2.3474178403755865,0.0,0.4963144963144963,1.9278846153846154
General Luna (Pob.),0.0,0.0,21.323529411764707,51.06382978723404,50.37037037037037,1.812366737739872,3.7104072398190047,4.288939051918736,0.36199095022624433,0.48921832884097033,1.6061320754716981
Hermogenes C. Concepcion; Sr.,0.0,0.0,15.454545454545453,40.98360655737705,31.132075471698112,0.6654567453115547,0.0,6.382978723404255,0.0,0.41510791366906474,1.3528708133971292
Ibabao Bana,0.40816326530612246,0.0,18.892508143322477,42.857142857142854,14.736842105263156,2.487864077669903,1.21300339640951,4.027777777777778,0.048520135856380396,0.5684931506849316,1.9826338639652676
Imelda District,0.0,0.07012622720897616,15.668202764976957,52.083333333333336,22.83464566929134,1.729490022172949,1.5778401122019634,3.905447070914697,0.07012622720897616,0.5915178571428571,2.0502673796791444
Isla (Pob.),0.0,0.0,14.644351464435147,52.112676056338024,15.263157894736842,1.8808777429467085,0.0,2.6984126984126986,0.12232415902140673,0.5223463687150838,1.66721044045677
Kalikid Norte,0.0,0.0,13.846153846153847,46.464646464646464,26.146788990825687,3.048780487804878,0.28317152103559873,4.624277456647398,0.12135922330097086,0.620983606557377,1.9963636363636363
Kalikid Sur,0.17605633802816903,0.0,14.782608695652174,45.348837209302324,25.31645569620253,2.169367485624673,0.0,3.7679425837320575,0.0,0.560064935064935,1.9863269111249222
Kapitan Pepe (Pob.),0.0,0.09319664492078285,23.52941176470588,41.42857142857143,30.21978021978022,0.6389776357827476,0.0,2.810304449648712,0.0,0.4578804347826087,1.5855421686746989
Lagare,0.4608294930875576,8.494623655913978,17.77777777777778,50.0,23.684210526315788,1.2709030100334449,2.4193548387096775,2.1406727828746175,0.053763440860215055,0.5564853556485355,1.90625
Lourdes (Matungal-tungal),0.0,0.4721435316336166,19.014084507042252,47.19101123595505,18.7192118226601,4.085155350978136,0.0,4.342105263157895,0.0,0.5031937544357701,1.9133425034387896
M. S. Garcia,0.5628517823639775,0.0,17.61006289308176,54.06976744186046,22.950819672131146,1.2727798669366504,3.25635103926097,5.692599620493358,0.023094688221709007,0.5722585330428468,1.904091213950369
Mabini Extension,0.0,0.0,20.474777448071215,30.337078651685395,52.63157894736842,2.4875621890547266,0.43128234617596317,2.0275162925416366,0.0,0.3543613707165109,1.5705838876570584
Mabini Homesite,0.0,0.11261261261261261,18.151815181518153,41.66666666666667,38.297872340425535,0.39508340649692714,0.0,4.965243296921549,0.0,0.47753743760399336,1.7836990595611286
Macatbong,0.5714285714285714,0.0,16.431924882629108,47.107438016528924,14.17910447761194,1.9255455712451863,2.6889040163376445,3.3165829145728645,0.06807351940095302,0.5821217016693592,2.054054054054054
