barangay,ndeath05_prop,nntsws_prop,nntelem612_prop,nnths1617_prop,ntert1721_prop,nntliter10ab_prop,npovp_prop,nfshort_prop,nunempl15ab_prop,nvictcr_prop,age_dep_prop,dep_prop,hh_totmem
Cruz Roja,0.2380952380952381,0.0,19.055944055944053,52.892561983471076,25.165562913907287,2.4947294448348556,30.498614958448755,0.0,5.982274741506647,0.02770083102493075,36.59279778393352,64.73684210526316,3610
Daang Sarile,0.145985401459854,0.0992227550851662,17.37142857142857,51.28205128205128,24.637681159420293,1.634988759452279,25.070282784851994,0.2811311394079709,4.646113764654798,0.1984455101703324,35.736728956507356,63.68447163882918,6047
Dalampang,0.0,0.1724137931034483,10.276679841897234,37.28813559322034,24.65753424657534,1.1988716502115657,29.770114942528735,0.0,6.839186691312385,0.0,36.0919540229885,71.03448275862068,1740
Dicarma (Pob.),0.2857142857142857,0.0,15.126050420168067,54.13533834586466,25.57471264367816,4.865070315469403,22.787136294027565,1.439509954058193,3.051643192488263,0.4287901990811639,32.955589586523736,62.052067381317,3265
Dimasalang (Pob.),0.0,0.0,25.806451612903224,44.0,35.1063829787234,2.7027027027027026,20.36836403033586,0.0,3.40632603406326,0.0,30.76923076923077,56.988082340195014,923
Dionisio S. Garcia,1.2477718360071302,0.9119217081850534,17.628705148205928,56.315789473684205,19.911504424778762,3.022670025188917,36.89946619217082,6.583629893238434,4.746835443037975,0.42259786476868333,35.787366548042705,66.52580071174377,4496
Fatima (Pob.),0.0,0.0,13.698630136986301,25.0,37.254901960784316,1.9083969465648856,36.61740558292282,0.0,2.3474178403755865,0.0,33.16912972085386,65.84564860426929,609
General Luna (Pob.),0.0,0.0,21.323529411764707,51.06382978723404,50.37037037037037,1.812366737739872,28.054298642533936,3.7104072398190047,4.288939051918736,0.36199095022624433,32.85067873303167,61.6289592760181,1105
Hermogenes C. Concepcion; Sr.,0.0,0.0,15.454545454545453,40.98360655737705,31.132075471698112,0.6654567453115547,15.302491103202847,0.0,6.382978723404255,0.0,29.334011184544995,57.49872902897813,1967
Ibabao Bana,0.40816326530612246,0.0,18.892508143322477,42.857142857142854,14.736842105263156,2.487864077669903,47.937894226103836,1.21300339640951,4.027777777777778,0.048520135856380396,36.24454148471616,66.47258612324114,2061
Imelda District,0.0,0.07012622720897616,15.668202764976957,52.083333333333336,22.83464566929134,1.729490022172949,29.66339410939691,1.5778401122019634,3.905447070914697,0.07012622720897616,37.166900420757365,67.21598877980365,2852
Isla (Pob.),0.0,0.0,14.644351464435147,52.112676056338024,15.263157894736842,1.8808777429467085,30.21406727828746,0.0,2.6984126984126986,0.12232415902140673,34.31192660550459,62.50764525993884,1635
Kalikid Norte,0.0,0.0,13.846153846153847,46.464646464646464,26.146788990825687,3.048780487804878,31.715210355987054,0.28317152103559873,4.624277456647398,0.12135922330097086,38.30906148867314,66.62621359223301,2472
Kalikid Sur,0.17605633802816903,0.0,14.782608695652174,45.348837209302324,25.31645569620253,2.169367485624673,27.929240374609783,0.0,3.7679425837320575,0.0,35.90010405827263,66.51404786680541,4805
Kapitan Pepe (Pob.),0.0,0.09319664492078285,23.52941176470588,41.42857142857143,30.21978021978022,0.6389776357827476,20.596458527493013,0.0,2.810304449648712,0.0,31.407269338303824,61.323392357875115,2146
Lagare,0.4608294930875576,8.494623655913978,17.77777777777778,50.0,23.684210526315788,1.2709030100334449,40.913978494623656,2.4193548387096775,2.1406727828746175,0.053763440860215055,35.752688172043015,65.59139784946237,1860
