barangay,nmaln05-prop,ndeath05-prop,nsquat-prop,nmsh-prop,nntsws-prop,nntstf-prop,nntkinder5-prop,nntelem612-prop,nnths1316-prop,nnths1617-prop,ntert1721-prop,nntliter10ab-prop,npovp-prop,nfshort-prop,nunempl15ab-prop,nvictcr-prop,age_dep_ratio,dep_ratio
Campo Tinio,0.45351473922902497,0.11337868480725624,1.2658227848101267,2.320675105485232,0.6329113924050633,0.0,29.559748427672954,20.56737588652482,24.691358024691358,48.701298701298704,25.851197982345525,3.6709041565490645,27.015939990623533,0.17580872011251758,4.233729881035689,0.011720581340834505,0.4856346857043357,2.1172816952868105
Caridad,2.0,1.0,8.403361344537815,3.555268261150614,0.8403361344537815,1.4221073044602457,15.384615384615385,24.444444444444443,24.786324786324787,33.92857142857143,28.662420382165603,3.774981495188749,25.791855203619914,4.072398190045249,4.166666666666666,0.7756948933419522,0.5196463654223968,1.6904347826086956
Caudillo,1.293103448275862,4.741379310344827,3.5891772501380452,2.816123688569851,6.350082827167311,3.368304803975704,43.24324324324324,18.21428571428571,32.05128205128205,56.33802816901409,13.372093023255813,5.296610169491525,67.25565985643291,7.123136388735506,9.967845659163988,0.05521811154058532,0.5465414175918019,2.2339285714285713
Cinco-Cinco,2.6785714285714284,0.8928571428571428,11.989247311827956,3.010752688172043,0.16129032258064516,0.16129032258064516,33.33333333333333,14.942528735632186,18.421052631578945,47.540983606557376,10.99476439790576,2.501690331304936,46.236559139784944,1.0752688172043012,5.428571428571429,0.10752688172043011,0.5346534653465347,1.809667673716012
City Supermarket (Pob.),0.0,0.0,2.7777777777777777,0.9259259259259258,0.0,0.0,0.0,50.0,33.33333333333333,0.0,0.0,3.7735849056603774,0.9259259259259258,0.0,1.3333333333333335,1.8518518518518516,0.2857142857142857,0.4594594594594595
Communal,4.72972972972973,0.6756756756756757,1.8745493871665464,1.5861571737563085,0.7209805335255948,0.14419610670511895,20.0,17.80821917808219,30.8411214953271,42.30769230769231,17.391304347826086,4.114490161001789,55.44340302811824,0.8651766402307137,6.862745098039216,0.14419610670511895,0.5584269662921348,1.92
Cruz Roja,2.547770700636943,0.21231422505307856,5.5769230769230775,2.7163461538461537,0.0,1.25,24.418604651162788,19.230769230769234,17.99307958477509,56.83453237410072,22.774869109947645,2.772754671488849,32.25961538461539,0.2403846153846154,7.357449417535254,0.02403846153846154,0.5453194650817236,1.7531436135009928
Daang Sarile,1.3301088270858523,0.12091898428053204,4.952797920372144,2.736352442194555,0.08209057326583664,0.054727048843891096,27.450980392156865,16.845180136319378,25.13863216266174,50.35460992907801,25.0,1.504394861392833,28.649610069776987,0.23258995758653717,4.73884469041854,0.20522643316459158,0.5290794979079498,1.6539578794480756
Dalampang,0.546448087431694,0.0,2.2688598979013044,0.0,0.17016449234259784,0.0,27.77777777777778,10.424710424710424,23.026315789473685,37.28813559322034,25.170068027210885,1.1838440111420612,29.948950652297217,0.0,6.7272727272727275,0.0,0.5657193605683837,2.4366471734892787
Dicarma (Pob.),1.0752688172043012,0.2688172043010753,12.934631432545201,2.39221140472879,0.0,0.0,22.727272727272727,16.184971098265898,27.436823104693143,57.7922077922078,24.623115577889447,5.018906840838777,23.477051460361615,1.3073713490959666,3.393351800554017,0.4172461752433936,0.4788153023447141,1.5770609318996416
